iter	Passed	Remaining
403	13022	19211
404	13059	19186
405	13110	19181
406	13151	19161
407	13171	19111
408	13187	19056
409	13215	19018
410	13265	19011
411	13303	18986
412	13338	18958
413	13372	18928
414	13412	18906
415	13438	18865
416	13481	18847
417	13515	18818
418	13541	18777
419	13582	18757
420	13635	18753
421	13685	18743
422	13739	18741
423	13753	18684
424	13822	18701
425	13858	18672
426	13891	18641
427	13922	18607
428	13954	18573
429	13989	18543
430	14020	18509
431	14054	18479
432	14085	18444
433	14102	18391
434	14147	18375
435	14178	18341
436	14211	18308
437	14242	18274
438	14274	18241
439	14305	18207
440	14336	18171
441	14366	18136
442	14396	18101
443	14441	18084
444	14471	18048
445	14501	18012
446	14511	17953
447	14544	17920
448	14564	17873
449	14608	17855
450	14627	17805
451	14657	17770
452	14690	17738
453	14718	17700
454	14750	17667
455	14782	17635
456	14811	17599
457	14829	17549
458	14861	17516
459	14893	17484
460	14913	17436
461	14922	17376
462	14953	17343
463	14984	17309
464	15012	17272
465	15045	17241
466	15069	17199
467	15113	17179
468	15178	17184
469	15221	17164
470	15254	17133
471	15322	17140
472	15377	17132
473	15418	17109
474	15458	17085
475	15502	17065
476	15544	17043
477	15598	17034
478	15649	17021
479	15693	17001
480	15739	16982
481	15781	16960
482	15816	16929
483	15835	16882
484	15854	16834
485	15890	16805
486	15915	16764
487	15950	16734
488	15985	16704
489	16007	16660
490	16043	16631
491	16081	16604
492	16106	16563
493	16152	16544
494	16196	16523
495	16247	16510
496	16303	16500
497	16345	16476
498	16393	16459
499	16430	16430
500	16487	16421
501	16511	16380
502	16554	16357
503	16585	16322
504	16651	16322
505	16676	16281
506	16725	16263
507	16770	16242
508	16826	16231
509	16871	16210
510	16912	16184
511	16983	16187
512	17026	16163
513	17082	16151
514	17124	16126
515	17167	16102
516	17208	16077
517	17227	16029
518	17242	15979
519	17257	15929
520	17352	15953
521	17418	15950
522	17465	15929
523	17515	15910
524	17561	15889
525	17602	15862
526	17648	15840
527	17686	15810
528	17734	15789
529	17744	15736
530	17790	15713
531	17838	15692
532	17852	15641
533	17888	15610
534	17909	15565
535	17969	15555
536	18009	15527
537	18069	15516
538	18110	15490
539	18125	15440
540	18150	15399
541	18191	15371
542	18230	15343
543	18275	15319
544	18313	15289
545	18362	15268
546	18387	15227
547	18428	15200
548	18472	15175
549	18511	15145
550	18554	15119
551	18588	15086
552	18627	15057
553	18682	15040
554	18735	15022
555	18788	15003
556	18828	14974
557	18883	14957
558	18930	14934
559	19104	15010
560	19171	15002
561	19217	14977
562	19265	14953
563	19297	14917
564	19329	14882
565	19359	14844
566	19402	14817
567	19439	14784
568	19482	14757
569	19543	14743
570	19588	14717
571	19655	14707
572	19689	14672
573	19730	14643
574	19767	14611
575	19782	14561
576	19797	14513
577	19851	14493
