iter	Logloss
0	0.6849886988
1	0.6790181259
2	0.6716709492
3	0.6656855982
4	0.6589905583
5	0.6524607273
6	0.645872858
7	0.639155537
8	0.6327833686
9	0.6268506033
10	0.6208469112
11	0.6160571482
12	0.6113069045
13	0.606008156
14	0.5999087266
15	0.5953917328
16	0.5906466768
17	0.585550204
18	0.5801438254
19	0.5750662985
20	0.5706092203
21	0.5658944648
22	0.5612951201
23	0.5566015695
24	0.5527694833
25	0.5491339981
26	0.5451252123
27	0.5414202084
28	0.5374647957
29	0.5333984028
30	0.5296592072
31	0.5250526638
32	0.5215294192
33	0.5183200214
34	0.515428907
35	0.5125965705
36	0.508803159
37	0.5047475895
38	0.5010584658
39	0.498032889
40	0.4948614404
41	0.4922145216
42	0.488710325
43	0.4855993035
44	0.4832887794
45	0.4810250924
46	0.4785236687
47	0.4762199604
48	0.47409365
49	0.470532033
50	0.4674755484
51	0.4644293442
52	0.461664427
53	0.4590607705
54	0.4563692508
55	0.4539407629
56	0.4512958415
57	0.4487485566
58	0.4462043878
59	0.4435900958
60	0.4409862843
61	0.4388399748
62	0.4368710502
63	0.4350890775
64	0.432902871
65	0.4304350781
66	0.4282664673
67	0.4267229137
68	0.4245448475
69	0.4229249339
70	0.4214914375
71	0.4200859657
72	0.418306761
73	0.416962725
74	0.415271496
75	0.4135740107
76	0.4116674034
77	0.4103224747
78	0.408306647
79	0.4066268484
80	0.4054236709
81	0.4034983916
82	0.4021424418
83	0.4003711514
84	0.399010065
85	0.3975427648
86	0.3963695217
87	0.3950529874
88	0.3940192809
89	0.3927826803
90	0.3911599431
91	0.3899790519
92	0.3889588718
93	0.3877867781
94	0.386364818
95	0.385518766
96	0.3846221408
97	0.3836993165
98	0.3828260314
99	0.3817464804
100	0.3808429055
101	0.3800347593
102	0.3793391794
103	0.3782412562
104	0.3771425822
105	0.3765085611
106	0.3756257285
107	0.374535815
108	0.373445551
109	0.3726904618
110	0.3716914084
111	0.3707782696
112	0.3702133176
113	0.3693647697
114	0.3684325738
115	0.3676604123
116	0.3666929396
117	0.366198789
118	0.3652914479
119	0.3641346005
120	0.3635014456
121	0.3626575302
122	0.361700781
123	0.3609340504
124	0.3602966591
125	0.3596216154
126	0.358959547
127	0.3579403938
128	0.357169564
129	0.3567875752
130	0.3561404547
131	0.3553276491
132	0.3544594654
133	0.3541090566
134	0.3537384746
135	0.353079475
136	0.3523688733
137	0.3516394511
138	0.3513221409
139	0.3505153496
140	0.3501520267
141	0.3494197418
142	0.3490845675
143	0.3484481704
144	0.34815726
145	0.3472968942
146	0.3466878188
147	0.3458621184
148	0.3453609208
149	0.3448360256
150	0.3445143244
151	0.3439339955
152	0.3433890643
153	0.3427323354
154	0.3419891135
155	0.3416109511
156	0.3410110128
157	0.3406603965
158	0.3402213688
159	0.3396132099
160	0.3392905597
161	0.3387024972
162	0.3382074496
163	0.337894467
164	0.3373659058
165	0.3370399003
166	0.336615328
167	0.3363133192
168	0.3361646637
169	0.3359215551
170	0.3357549688
171	0.3350683923
172	0.3345498615
173	0.3340185609
174	0.3338274125
175	0.3336674837
176	0.3335100488
177	0.3333172599
178	0.3331382795
179	0.3326491265
180	0.3321782173
181	0.3316229126
182	0.3311567785
183	0.3308046036
184	0.3303869401
185	0.3299272254
186	0.3296043668
187	0.3291817254
188	0.3288126118
189	0.3285400467
190	0.3281025362
191	0.3277832537
192	0.3272383728
193	0.3267218248
194	0.3264021207
195	0.3263021903
196	0.3258152867
197	0.3254821445
198	0.3252075446
199	0.3251960835
200	0.3249000261
201	0.3244019623
202	0.3238415491
203	0.3235032345
204	0.323206394
205	0.3229476449
206	0.3223199785
207	0.3220404248
208	0.321630642
209	0.3213483818
210	0.3211497985
211	0.3208818588
212	0.3205157242
213	0.3204798735
214	0.3203098656
215	0.3200785074
216	0.3199083668
217	0.3194777607
218	0.319211128
219	0.318899993
220	0.3185055384
221	0.3183222492
222	0.3182323452
223	0.3178976686
224	0.3175474861
225	0.3172572137
226	0.3169071546
227	0.3164921993
228	0.3162687039
229	0.3159431738
230	0.3158630098
231	0.3154578411
232	0.315349424
233	0.314876183
234	0.3146188946
235	0.3144315254
236	0.3138109401
237	0.3135841244
238	0.3135288052
239	0.3130524176
240	0.3128545764
241	0.3125924997
242	0.3123821423
243	0.3121586242
244	0.3117615007
245	0.3113340895
246	0.311139619
247	0.3107017691
248	0.3105717613
249	0.3101838904
250	0.309911329
251	0.3098993714
252	0.309670072
253	0.3094641059
254	0.3092682434
255	0.3089664915
256	0.3087036132
257	0.3085378355
258	0.3083642622
259	0.3081594167
260	0.30771358
261	0.3075438766
262	0.3072722353
263	0.3071545522
264	0.3068857959
265	0.3066866784
266	0.3064586023
267	0.3062006377
268	0.30612785
269	0.3057912327
270	0.3054768086
271	0.305225426
272	0.305048062
273	0.3048093229
274	0.3047143946
275	0.3045509772
276	0.3043563481
277	0.3041816105
278	0.3040574545
279	0.3038264296
280	0.3036188642
281	0.3035903017
282	0.3034591731
283	0.3032910539
284	0.3030322773
285	0.3029780681
286	0.3028210091
287	0.3026880022
288	0.3025132363
289	0.3023427623
290	0.3022219474
291	0.3020949019
292	0.3019960086
293	0.301832691
294	0.3016951284
295	0.301273647
296	0.301191387
297	0.3010091054
298	0.3007943189
299	0.3005898087
300	0.3003752487
301	0.2999872126
302	0.2998052271
303	0.2996100461
304	0.2993871234
305	0.2993427217
306	0.2991364452
307	0.2990288916
308	0.2987623475
309	0.2984651157
310	0.2983977403
311	0.2983151106
312	0.2981375618
313	0.2979899822
314	0.2979190577
315	0.2977288607
316	0.29752065
317	0.2974298653
318	0.2974009677
319	0.2971978258
320	0.2968930914
321	0.2968725118
322	0.2965447711
323	0.2963325182
324	0.2963313188
325	0.2962911138
326	0.2960652655
327	0.2957775697
328	0.2956871208
329	0.2955712433
330	0.2953982792
331	0.2951796206
332	0.2949712736
333	0.2948353089
334	0.2946890202
335	0.2946437243
336	0.2944089667
337	0.2942407508
338	0.2941637115
339	0.2940464186
340	0.29392194
341	0.2937852904
342	0.2935954527
343	0.2934870859
344	0.293390742
345	0.2930588202
346	0.2929177399
347	0.2927662901
348	0.2926106105
349	0.292507284
350	0.2924779248
351	0.2922752668
352	0.2921888848
353	0.2920522123
354	0.2917317096
355	0.2916220508
356	0.2913349691
357	0.2912312162
358	0.2911248194
359	0.2909981004
360	0.2909207558
361	0.2908481269
362	0.2906429943
363	0.2904441382
364	0.2903792566
365	0.2902573716
366	0.2901177826
367	0.2898517817
368	0.2896473659
369	0.2896120567
370	0.2895664287
371	0.2894252418
372	0.2892289259
373	0.2891644075
374	0.2891089536
375	0.2890224275
376	0.2888997366
377	0.2887585497
378	0.2885822776
379	0.2884794909
380	0.28831923
381	0.2883036616
382	0.2882430153
383	0.2881665395
384	0.2879776247
385	0.2879570012
386	0.2876629368
387	0.2876513618
388	0.2874475202
389	0.2873698053
390	0.2873641803
391	0.2872050765
392	0.2870772989
393	0.2870622543
394	0.2870486231
395	0.2870195901
396	0.2869210675
397	0.2868277542
398	0.2866052711
399	0.2865433503
400	0.2864801359
401	0.2864188968
402	0.2863914672
403	0.2863752853
404	0.2862338371
405	0.28615832
406	0.2859831897
407	0.2859637361
408	0.2859601985
409	0.2859418503
410	0.2858630958
411	0.2857862214
412	0.285715188
413	0.2853818099
414	0.2852306056
415	0.2851692996
416	0.2850730272
417	0.2850440844
418	0.2850298309
419	0.2849430133
420	0.2848114126
421	0.2846738536
422	0.2845704128
423	0.2845564283
424	0.2844750847
425	0.2843838829
426	0.284305387
427	0.2841721429
428	0.2840209599
429	0.2839806053
430	0.2838462209
431	0.2836476865
432	0.2834138685
433	0.2833933733
434	0.2832874107
435	0.2832648972
436	0.2832296271
437	0.2830934624
438	0.2829585273
439	0.2828658388
440	0.282813403
441	0.2826437862
442	0.2826033828
443	0.282396265
444	0.2822427143
445	0.2821880041
446	0.2821847273
447	0.2821152317
448	0.2821105308
449	0.2820244836
450	0.2820104142
451	0.2819661983
452	0.2818535285
453	0.2818204554
454	0.2817365598
455	0.2816142158
456	0.2815271158
457	0.2814854083
458	0.2813799413
459	0.2812994679
460	0.2812772461
461	0.2812771624
462	0.2811379833
463	0.2810736809
464	0.2810321159
465	0.2809470113
466	0.2809257403
467	0.2808035585
468	0.2806924912
469	0.2805227923
470	0.2805089448
471	0.2802675882
472	0.2801463085
473	0.2800557943
474	0.2798775112
475	0.279790593
476	0.279659969
477	0.2795393934
478	0.2792865968
479	0.2790807763
480	0.2790658767
481	0.278941009
482	0.2788004673
483	0.2787822633
484	0.2787632097
485	0.2786528429
486	0.2786044906
487	0.2784829969
488	0.2784274015
489	0.2784109503
490	0.278317315
491	0.2782229202
492	0.2782097372
493	0.2780869428
494	0.2779624318
495	0.277788522
496	0.277744935
497	0.277727034
498	0.2776856229
499	0.2775661212
500	0.2774338665
501	0.2774062188
502	0.2773097684
503	0.2772950259
504	0.2770429085
505	0.2770355787
506	0.2769640967
507	0.2768599278
508	0.2767935441
509	0.2767284089
510	0.2766087066
511	0.2764479087
512	0.2764001594
513	0.2763298791
514	0.2761579499
515	0.2758205061
516	0.2757083287
517	0.2756965834
518	0.2756837972
519	0.2756765393
520	0.2754852009
521	0.2754317716
522	0.2753634592
523	0.2752859312
524	0.2752312354
525	0.2751144899
526	0.2748955247
527	0.2747244116
528	0.2746986586
529	0.2746986564
530	0.2746219599
531	0.274495222
532	0.274482951
533	0.2743116951
534	0.2742880207
535	0.2741147168
536	0.2739402887
537	0.27379497
538	0.2736864332
539	0.2736803155
540	0.2736791902
541	0.2735081528
542	0.2734362414
543	0.2733761056
544	0.2732309472
545	0.2731886786
546	0.2731678056
547	0.2729148551
548	0.2727873927
549	0.2727016471
550	0.2726384866
551	0.2725929441
552	0.2725275314
553	0.2724275492
554	0.2723322554
555	0.2721576038
556	0.2721067902
557	0.2720655243
558	0.2720233422
559	0.2719706149
560	0.271836421
561	0.2717123498
562	0.2716620977
563	0.2716375426
564	0.2716162337
565	0.2715441363
566	0.271415879
567	0.2712719022
568	0.2711903056
569	0.2709796395
570	0.2708436544
571	0.2706622701
572	0.2705312059
573	0.2704311553
574	0.2703893406
575	0.2703779187
576	0.2703666028
577	0.270287349
578	0.2702266262
579	0.2701454644
580	0.2701050499
581	0.2699106245
582	0.26985292
583	0.2696574185
584	0.2695648769
585	0.2694248836
586	0.2693198084
587	0.2692911721
588	0.2691244522
589	0.2691003591
590	0.2690147503
591	0.2689775102
592	0.2688661143
593	0.2686887897
594	0.2686729222
595	0.268538838
596	0.2684750572
597	0.2684733859
598	0.2684398087
599	0.2683951397
600	0.2683349926
601	0.2681681484
602	0.2681629536
603	0.2680955638
604	0.2679340827
605	0.2678216327
606	0.2676975198
607	0.2676076694
608	0.2675401459
609	0.2673432432
610	0.2671414753
611	0.2671055796
612	0.2670955141
613	0.2669715462
614	0.2669286396
615	0.2667988864
616	0.2666952451
617	0.2665665079
618	0.2664978862
619	0.2663339043
620	0.2662401275
621	0.2662303421
622	0.2661870341
623	0.2661711604
624	0.2661630222
625	0.2660905529
626	0.2660176967
627	0.2659931119
628	0.265802039
629	0.2656956362
630	0.2656848822
631	0.2655999122
632	0.2653638761
633	0.2653329596
634	0.2652621903
635	0.2651561283
636	0.2651318108
637	0.265115821
638	0.2651056775
639	0.2649973698
640	0.2649359072
641	0.2648117449
642	0.2645749559
643	0.2645649991
644	0.2645554666
645	0.2644780162
646	0.264302723
647	0.2642962715
648	0.2642753148
649	0.2641305997
650	0.264123284
651	0.2640761627
652	0.263976767
653	0.2639240928
654	0.2639240927
655	0.2638937373
656	0.2638688544
657	0.2637756593
658	0.2636777736
659	0.2635422291
660	0.2633715348
661	0.2630746869
662	0.2630097268
663	0.2629878327
664	0.262971872
665	0.2628908482
666	0.2628414889
667	0.2627276264
668	0.2625570778
669	0.2624189773
670	0.2623728708
671	0.2623637354
672	0.2621899942
673	0.2621683292
674	0.2620585756
675	0.2619504194
676	0.2619032685
677	0.2618264658
678	0.2616167012
679	0.2614772972
680	0.2612234137
681	0.2610454487
682	0.2609253607
683	0.2609162823
684	0.260916282
685	0.260803961
686	0.2606992443
687	0.2606023249
688	0.2605302431
689	0.2605214757
690	0.2604305745
691	0.2603993063
692	0.2603668966
693	0.2603175633
694	0.2603089078
695	0.2602309637
696	0.2602144583
697	0.2600755571
698	0.2600239702
699	0.2599728376
700	0.2599628728
701	0.2598253595
702	0.2597662413
703	0.2597249631
704	0.2596937652
705	0.2596328347
706	0.2595738601
707	0.2595600219
708	0.2594722975
709	0.2593981648
710	0.2592467894
711	0.2591537079
712	0.2591135137
713	0.2591049628
714	0.2590104167
715	0.2589827766
716	0.2589561677
717	0.2588662396
718	0.2587921947
719	0.2586992773
720	0.2585583412
721	0.2584973971
722	0.2583478204
723	0.2582513386
724	0.2581169787
725	0.2580016814
726	0.2578954386
727	0.2578842379
728	0.257837154
729	0.2577979703
730	0.2577594333
731	0.2576962506
732	0.2575965161
733	0.2574786919
734	0.2574428941
735	0.257399868
736	0.2573169712
737	0.2573061516
738	0.2571381851
739	0.2570281283
740	0.2569917544
741	0.2568474969
742	0.2568310012
743	0.2566781472
744	0.2566041432
745	0.2564452578
746	0.2562458346
747	0.2562112953
748	0.2561244472
749	0.2560918363
750	0.2560366419
751	0.255983544
752	0.2559363399
753	0.2559287581
754	0.2558460189
755	0.2558057494
756	0.2557173601
757	0.255669201
758	0.2556325609
759	0.2555849354
760	0.2554930952
761	0.2554554931
762	0.2554210879
763	0.2553875541
764	0.2553352472
765	0.2553151002
766	0.2552713067
767	0.2552533368
768	0.2552312522
769	0.2551083447
770	0.2550616042
771	0.2549825001
772	0.2549626058
773	0.2549033455
774	0.2548871671
775	0.254713567
776	0.2546792741
777	0.2546254763
778	0.2546180258
779	0.254485636
780	0.2544253872
781	0.2542367833
782	0.2540702692
783	0.253969071
784	0.2538565742
785	0.2538362099
786	0.2537902295
787	0.2536009057
788	0.2535921921
789	0.2535713634
790	0.253411878
791	0.253374895
792	0.2533681527
793	0.2533143246
794	0.2530407358
795	0.2529731091
796	0.2529557966
797	0.2529317157
798	0.2528855576
799	0.2528285817
800	0.2526475908
801	0.2525271911
802	0.2525208851
803	0.2524651263
804	0.2523918284
805	0.252230691
806	0.2521991849
807	0.252191389
808	0.2521509843
809	0.2520094541
810	0.2519505188
811	0.2518701677
812	0.251832267
813	0.2518261961
814	0.2517419154
815	0.2517337883
816	0.2516537015
817	0.251620841
818	0.2516009886
819	0.2514348521
820	0.2513352534
821	0.2513149598
822	0.2512298204
823	0.2511908207
824	0.2510964441
825	0.2510763155
826	0.2509478358
827	0.2509092268
828	0.2507369556
829	0.2507207012
830	0.2506910542
831	0.2506847872
832	0.2505579479
833	0.2503003869
834	0.2502065471
835	0.2501096498
836	0.2500209109
837	0.249871823
838	0.2498512912
839	0.2496848053
840	0.2496221236
841	0.2495421356
842	0.2494378085
843	0.2493476272
844	0.2492715433
845	0.2491328321
846	0.2490711195
847	0.2488621323
848	0.2487689965
849	0.248729066
850	0.2487079391
851	0.2486352944
852	0.2485731123
853	0.2484607004
